Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
1110/B;Ignoto;;inizio XVI secolo;Abramo con tre angeli;bronzo;http://93.62.170.226/foto/1110_B.jpg;http://www.palazzomadamatorino.it/it/node/24055
1159/B;Galeazzo Mondella detto Moderno;;1490 ca.;Adorazione dei Magi;bronzo;http://93.62.170.226/foto/1159_B.jpg;http://www.palazzomadamatorino.it/it/node/24101
1210/B;Galeazzo Mondella detto Moderno;;1490 ca.;Adorazione dei Magi;bronzo;http://93.62.170.226/foto/1210_B.jpg;http://www.palazzomadamatorino.it/it/node/24151
1230/B;Galeazzo Mondella detto Moderno;;1490 ca.;Adorazione dei Magi;piombo;http://93.62.170.226/foto/1230_B.jpg;http://www.palazzomadamatorino.it/it/node/24171
1135/B;Bernardi (?) Giovanni;;1496 - 1553;Adorazione dei pastori;Piombo (?);http://93.62.170.226/foto/1135_B.jpg;http://www.palazzomadamatorino.it/it/node/24077
1243/B;Belli Valerio;;1468 - 1546;Adorazione dei pastori;bronzo dorato;http://93.62.170.226/foto/1243_B.jpg;http://www.palazzomadamatorino.it/it/node/24184
2323/DS;Juvarra Filippo;;XVIII;Allegoria;penna su carta/ inchiostro su carta;http://93.62.170.226/foto/Filippo Juvarra Volume IV 0074.jpg;http://www.palazzomadamatorino.it/it/node/1865
1196/B;Ignoto;;inizio XIX secolo (?);Allegoria della Temperanza;piombo o peltro (?);http://93.62.170.226/foto/1196_B.jpg;http://www.palazzomadamatorino.it/it/node/24136
1231/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Allegoria dell'Unione;bronzo;http://93.62.170.226/foto/1231_B.jpg;http://www.palazzomadamatorino.it/it/node/24172
1156/B;Briosco detto il Riccio Andrea;;1470 ca. - 1532;Allegoria di Spirito e Materia;bronzo;http://93.62.170.226/foto/1156_B.jpg;http://www.palazzomadamatorino.it/it/node/24098
1187/B;Briosco detto il Riccio Andrea;;1470 ca. - 1532;Allegoria di Spirito e Materia;bronzo;http://93.62.170.226/foto/1187_B part.jpg;http://www.palazzomadamatorino.it/it/node/24128
0110/CU;;arte francese;inizio XVI secolo;Amore e figura virile entro clipeo/ due teste di guerriero/ motivi a desinenza zoomorfa/ stemma;legno/ pelle incisa/ cesellata/ dorata e dipinta;http://93.62.170.226/foto/CU110quater.jpg;http://www.palazzomadamatorino.it/it/node/21535
1257/B;;Scuola dell'Italia del Nord;meta' XV secolo prima del 1471;Amorini che giocano;bronzo;http://93.62.170.226/foto/1257_B.jpg;http://www.palazzomadamatorino.it/it/node/24197
1307/B;Ignoto;;XVII secolo (?);Amorini;bronzo dorato;http://93.62.170.226/foto/1307_B.jpg;http://www.palazzomadamatorino.it/it/node/24245
1109/B;Ignoto;;XIX secolo seconda meta' (?);Angelo annunciante;Rame e bronzo dorato (?);http://93.62.170.226/foto/1109_B.jpg;http://www.palazzomadamatorino.it/it/node/24054
1151/B;Ignoto;;XVII secolo (?);Apollo e Dafne e Niobidi (?);bronzo;http://93.62.170.226/foto/1151_B recto.jpg;http://www.palazzomadamatorino.it/it/node/24093
1262/B;Ignoto;;XVI secolo (?);Apollo e Dafne;piombo;http://93.62.170.226/foto/1262_B.jpg;http://www.palazzomadamatorino.it/it/node/24202
1126/B;;Dall'antico;XV secolo (?);Apollo e Marsia;bronzo dorato;http://93.62.170.226/foto/1126_B.jpg;http://www.palazzomadamatorino.it/it/node/24068
1181/B;;Dall'antico;XV secolo;Apollo e Marsia;bronzo;http://93.62.170.226/foto/1181_B part.jpg;http://www.palazzomadamatorino.it/it/node/24122
1242/B;;Dall'antico;XV secolo;Apollo e Marsia;bronzo;http://93.62.170.226/foto/1242_B.jpg;http://www.palazzomadamatorino.it/it/node/24183
1212/B;;Dall'antico;;Apollo e Marsia;bronzo dorato;http://93.62.170.226/foto/1212_B.jpg;http://www.palazzomadamatorino.it/it/node/24153
1274/B;;Dall'antico;post 1429;Apollo e Marsia;bronzo;http://93.62.170.226/foto/1274_B.jpg;http://www.palazzomadamatorino.it/it/node/24214
1171/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna all'isola di Nasso;bronzo dorato;http://93.62.170.226/foto/1171_B.jpg;http://www.palazzomadamatorino.it/it/node/24113
1129/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna nell'isola di Nasso;bronzo;http://93.62.170.226/foto/1129_B.jpg;http://www.palazzomadamatorino.it/it/node/24071
1137/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna nell'isola di Nasso;bronzo dorato;http://93.62.170.226/foto/1137_B.jpg;http://www.palazzomadamatorino.it/it/node/24079
1119/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna nell'isola di Nasso;bronzo dorato;http://93.62.170.226/foto/1119_B.jpg;http://www.palazzomadamatorino.it/it/node/24063
1193/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna nell'isola di Nasso;bronzo;http://93.62.170.226/foto/1193_B part.jpg;http://www.palazzomadamatorino.it/it/node/24134
1306/B;(Giovanni Fondulini Fonduli?) Maestro IO.F.F.;;fine XV secolo;Arianna nell'isola di Nasso;bronzo;http://93.62.170.226/foto/1306_B 2.jpg;http://www.palazzomadamatorino.it/it/node/24244
0103/LE;;;XIX secolo;Astuccio d'almanacco piemontese;pelle;http://93.62.170.226/foto/103LE.jpg;http://www.palazzomadamatorino.it/it/node/16917
0044/LE;;Torino;XVIII secolo;Astuccio della legatura della Bottega dei Regi Archivi su Calendario per la Real Corte;vitello/ marocchino/ mica;http://93.62.170.226/foto/44LE (145LE).jpg;http://www.palazzomadamatorino.it/it/node/16861
0057/LE;;Torino;XVIII secolo;Astuccio della legatura della Bottega dei Regi Archivi su Esercizi di cristiana pieta';pelle/ marocchino/ mica/ argento fuso e cesellato;http://93.62.170.226/foto/LE57.jpg;http://www.palazzomadamatorino.it/it/node/16874
0280/LE;;;XVIII secolo;Astuccio di egatura romana su Uffizio della B.V. Maria dopo l'avvento;pelle granitee/ vitellino;http://93.62.170.226/foto/LE280.jpg;http://www.palazzomadamatorino.it/it/node/17604
0088/LE;;;XVIII secolo;Astuccio di libro devozionale;pelle;http://93.62.170.226/foto/LE88.jpg;http://www.palazzomadamatorino.it/it/node/16903
0058/LE;;;XVIII secolo;Astuccio di libro devozionale;pelle;http://93.62.170.226/foto/LE58.jpg;http://www.palazzomadamatorino.it/it/node/16875
0107/CU;;Italia Settentrionale;XV;Astuccio portatile di breviario;cuoio inciso e cesellato/  cascame di seta;http://93.62.170.226/foto/CU107ter.jpg;http://www.palazzomadamatorino.it/it/node/21534
0117/CU;;Italia Settentrionale;seconda meta' XV secolo;Astuccio portatile di libro di devozione;cuoio inciso e cesellato/ pelle;http://93.62.170.226/foto/CU117.jpg;http://www.palazzomadamatorino.it/it/node/21541
1279/B;;Dall'antico (?);XV secolo;Attila;bronzo;http://93.62.170.226/foto/1279_B.jpg;http://www.palazzomadamatorino.it/it/node/24219
1302/B;;Dall'antico (?);XV secolo;Attila;bronzo;http://93.62.170.226/foto/1302_B part.jpg;http://www.palazzomadamatorino.it/it/node/24240
1303/B;;Dall'antico (?);XV secolo;Attila;bronzo;http://93.62.170.226/foto/1303_B.jpg;http://www.palazzomadamatorino.it/it/node/24241
1170/B;Galeazzo Mondella detto Moderno;;fine XV - inizio XVI secolo;Augusto e la Sibilla;bronzo dorato;http://93.62.170.226/foto/1170_B part.jpg;http://www.palazzomadamatorino.it/it/node/24112
1284/B;;Scuola francese;XVII secolo;Autunno e Inverno;bronzo;http://93.62.170.226/foto/1284_B.jpg;http://www.palazzomadamatorino.it/it/node/24224
1204/B;;Scuola francese;XVII secolo;Autunno e Inverno;bronzo;http://93.62.170.226/foto/1204_B.jpg;http://www.palazzomadamatorino.it/it/node/24145
1114/B;;Scuola fiamminga (?);XVII secolo (?);Baccanale;Bronzo (?);http://93.62.170.226/foto/1114_B.jpg;http://www.palazzomadamatorino.it/it/node/24058
1200/B;;Scuola tedesca (?);fine XVI secolo;Baccanale. Lotta di Ercole;bronzo;http://93.62.170.226/foto/1200_B.jpg;http://www.palazzomadamatorino.it/it/node/24141
1164/B;;Dall'antico;fine XV secolo;Bacco scopre Arianna a Nasso;bronzo;http://93.62.170.226/foto/1164_B.jpg;http://www.palazzomadamatorino.it/it/node/24106
1261/B;Ignoto;;XVII secolo (?);Battesimo di Cristo;bronzo;http://93.62.170.226/foto/1261_B.jpg;http://www.palazzomadamatorino.it/it/node/24201
0256/LE;Villa Vittorio;;XVI secolo;biga a due cavalli;pelle;http://93.62.170.226/foto/LE256.jpg;http://www.palazzomadamatorino.it/it/node/17582
0031/LE;;;XVII secolo;Busta napoletana vuota;pelle;http://93.62.170.226/foto/LE31.jpg;http://www.palazzomadamatorino.it/it/node/16848
0186/LE;;;XVIII secolo;Busta vuota ad armi;Velluto di seta tagliato unito ricamato con filo argentato e filo di seta/ imbottitura in carta e in tela;http://93.62.170.226/foto/LE186.jpg;http://www.palazzomadamatorino.it/it/node/18622
1108/B;Ignoto;;XV secolo;Busto di Angelo Gambiglioni;;http://93.62.170.226/foto/1108_B.jpg;http://www.palazzomadamatorino.it/it/node/24053
1145/B;Ignoto;;meta' XVI secolo;Busto di Claudio;bronzo;http://93.62.170.226/foto/1145_B.jpg;http://www.palazzomadamatorino.it/it/node/24087
1254/B;;Scuola dell'Italia del Nord;XVI secolo;Busto di Cristo;bronzo;http://93.62.170.226/foto/1254_B recto.jpg;http://www.palazzomadamatorino.it/it/node/24194
1286/B;Ignoto;;XVI secolo (?);Busto di donna;bronzo dorato e smalto colorato (verde e bianco).;http://93.62.170.226/foto/1286_B part.jpg;http://www.palazzomadamatorino.it/it/node/24226
1207/B;Ignoto;;1900;Busto di Emma Gramatica;piombo (?);http://93.62.170.226/foto/1207_B.jpg;http://www.palazzomadamatorino.it/it/node/24148
1299/B;;Dall'antico;XV secolo;Busto di Flora;bronzo;http://93.62.170.226/foto/1299_B 2.jpg;http://www.palazzomadamatorino.it/it/node/24237
1260/B;Ignoto;;XVIII secolo (?);Busto di gentiluomo del Setecento;bronzo;http://93.62.170.226/foto/1260_B.jpg;http://www.palazzomadamatorino.it/it/node/24200
1239/B;Ignoto;;XV secolo;Busto di Giove;bronzo;http://93.62.170.226/foto/1240_B.jpg;http://www.palazzomadamatorino.it/it/node/24180
1153/B;Signoretti Gian Antonio;;fine XVI - inizio XVII secolo;Busto di Giulia Pratonieri;bronzo (?);http://93.62.170.226/foto/1153_B.jpg;http://www.palazzomadamatorino.it/it/node/24095
1182/B;Ignoto;;XV secolo (?);Busto di Giulio Cesare;bronzo;http://93.62.170.226/foto/1182_B.jpg;http://www.palazzomadamatorino.it/it/node/24123
1098/B;Cristoforo di Geremia (?);;XV secolo seconda meta' (?);Busto di imperatore romano;Bronzo;http://93.62.170.226/foto/1098_B.jpg;http://www.palazzomadamatorino.it/it/node/1209
1309/B;Ignoto;;XV secolo (?);Busto di Sileno;ottone (?);http://93.62.170.226/foto/1309_B 1.jpg;http://www.palazzomadamatorino.it/it/node/24247
1115/B;Ignoto;;XIX secolo (?);Busto femminile;bronzo;http://93.62.170.226/foto/1115_B.jpg;http://www.palazzomadamatorino.it/it/node/24059
1265/B;Ignoto;;fine XVI - inizio XVII secolo (?);Caccia al cinghiale;bronzo (?);http://93.62.170.226/foto/1265_B.jpg;http://www.palazzomadamatorino.it/it/node/24205
1100/B;Galeazzo Mondella detto Moderno;;XV-XVI;Caccia al leone;Bronzo;http://93.62.170.226/foto/1100_B.jpg;http://www.palazzomadamatorino.it/it/node/23902
1236/B;Galeazzo Mondella detto Moderno;;fine XV - inizio XVI secolo;Caccia al leone;Bronzo;http://93.62.170.226/foto/1236_B.jpg;http://www.palazzomadamatorino.it/it/node/24177
1177/B;Galeazzo Mondella detto Moderno;;1487 ca.;Caco ruba le giovenche di Ercole;bronzo;http://93.62.170.226/foto/1177_B.jpg;http://www.palazzomadamatorino.it/it/node/24119
1094/B;Moderno (bottega?);;XVI secolo prima meta';Caco ruba le giovenche di Ercole;Bronzo;http://93.62.170.226/foto/1094_B1.jpg;http://www.palazzomadamatorino.it/it/node/23896
1281/B;Della Porta Guglielmo;;1500 ca. - 1577;Caduta di Fetonte;bronzo;http://93.62.170.226/foto/1281_B.jpg;http://www.palazzomadamatorino.it/it/node/24221
1278/B;;Dall'antico;XV secolo;Caracalla;bronzo;http://93.62.170.226/foto/1278_B.jpg;http://www.palazzomadamatorino.it/it/node/24218
0241/AV;;;fine XIX secolo;Carnet;madreperla/ argento/ avorio (?);http://93.62.170.226/foto/AV241.jpg;http://www.palazzomadamatorino.it/it/node/22213
0243/AV;;;fine XIX secolo;Carnet;Madreperla/ cartone/ raso/ lega metallica;http://93.62.170.226/foto/AV243.jpg;http://www.palazzomadamatorino.it/it/node/20233
0310/VD;;;primo quarto XIX secolo;Carnet a forma di libro con stilo metallico;lega metallica/ vetro dorato e dipinto/ tessuto;http://93.62.170.226/foto/VD310ter.jpg;http://www.palazzomadamatorino.it/it/node/21957
0004/OV;;;inizio XIX secolo;Carnet con astuccio e stilo;corno/ lega metallica/ tessuto;http://93.62.170.226/foto/OV4.jpg;http://www.palazzomadamatorino.it/it/node/6162
0266/LE;;Torino;XVIII secolo;Cartella su Per le auguste nozze del R.le Principe di Piemonte con Madama Clotilde di Francia;marocchino;http://93.62.170.226/foto/LE266.jpg;http://www.palazzomadamatorino.it/it/node/17591
1256/B;Belli (?) Valerio;;1468 - post 1546 (?);Cattura di Cristo;piombo (?);http://93.62.170.226/foto/1256_B.jpg;http://www.palazzomadamatorino.it/it/node/24196
1132/B;Ignoto;;XVI secolo prima meta';Cattura di San Paolo (?);bronzo;http://93.62.170.226/foto/1132_B.jpg;http://www.palazzomadamatorino.it/it/node/24074
1235/B;;Dall'antico;XV secolo seconda meta';Centauro;bronzo;http://93.62.170.226/foto/1235_B.jpg;http://www.palazzomadamatorino.it/it/node/24176
1199/B;Ignoto;;XVII secolo (?);Cibele con leone e serpente;bronzo;http://93.62.170.226/foto/1199_B.jpg;http://www.palazzomadamatorino.it/it/node/24140
1149/B;Ignoto;;XVI secolo (?);Collegio dei militi di Loreto;bronzo;http://93.62.170.226/foto/1149_B.jpg;http://www.palazzomadamatorino.it/it/node/24091
1155/B;;Scuola tedesca;meta' XVI secolo;Combattimento di mostri marini;bronzo;http://93.62.170.226/foto/1155_B.jpg;http://www.palazzomadamatorino.it/it/node/24097
1211/B;;Scuola tedesca;meta' XVI secolo;Combattimento di mostri marini;bronzo;http://93.62.170.226/foto/1211_B.jpg;http://www.palazzomadamatorino.it/it/node/24152
1238/B;;Scuola tedesca (?);meta' XVI secolo;Combattimento di mostri marini;bronzo;http://93.62.170.226/foto/1238_B.jpg;http://www.palazzomadamatorino.it/it/node/24179
1205/B;Lotti detto Lorenzetto (?) Lorenzo;;XVI secolo prima meta';Compianto su Cristo morto;piombo;http://93.62.170.226/foto/1205_B.jpg;http://www.palazzomadamatorino.it/it/node/24146
1127/B;Galeazzo Mondella detto Moderno;;fine XV - inizio XVI secolo;Continenza di Scipione;Bronzo laccato nero (?);http://93.62.170.226/foto/1127_B.jpg;http://www.palazzomadamatorino.it/it/node/24069
1255/B;Belli Valerio;;1468 - post 1546;Continenza di Scipione (?);bronzo;http://93.62.170.226/foto/1255_B.jpg;http://www.palazzomadamatorino.it/it/node/24195
1290/B;Della Porta Guglielmo;;1500 ca. - 1577;Convito degli Dei;bronzo;http://93.62.170.226/foto/1290_B 2.jpg;http://www.palazzomadamatorino.it/it/node/24230
1405/DS;;;XVIII secolo;Coperta di recupero su album di disegni decorativi opera del colonnello Francesco Petri/  con dedica;marocchino/ inchiostro su carta/ ;http://93.62.170.226/foto/DS1405.jpg;http://www.palazzomadamatorino.it/it/node/3798
0259/LE;;;XVII secolo (?);Coperta vuota di legatura;cuoio;http://93.62.170.226/foto/LE259.jpg;http://www.palazzomadamatorino.it/it/node/17584
1112/B;;Scuola di Padova;fine XV - inizio XVI secolo;Cristo morto con la Vergine e San Giovanni;bronzo;http://93.62.170.226/foto/1112_B.jpg;http://www.palazzomadamatorino.it/it/node/24056
1223/B;Galeazzo Mondella detto Moderno;;1486 - 1489;Crocefissione;bronzo;http://93.62.170.226/foto/1223_B.jpg;http://www.palazzomadamatorino.it/it/node/24164
1229/B;Galeazzo Mondella detto Moderno;;fine XV secolo;Crocefissione;bronzo dorato (ad eccezione del listello perimetrale non dorato);http://93.62.170.226/foto/1229_B.jpg;http://www.palazzomadamatorino.it/it/node/24170
